Role,Company,Title,Location,Link,Date Posted
Software Engineer,AtkinsRéalis,Apprentice,"Gurgaon, Haryana, India",[Apply](https://in.linkedin.com/jobs/view/apprentice-at-atkinsr%C3%A9alis-4399219273?position=41&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=mFC3mNgntKrwdhxrjY%2Fl1g%3D%3D),2026-04-28
Software Engineer,AtkinsRéalis,Apprentice,Mumbai Metropolitan Region,[Apply](https://in.linkedin.com/jobs/view/apprentice-at-atkinsr%C3%A9alis-4399208604?position=42&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=M%2BP1FBqZ5JRyeumPcbMgHg%3D%3D),2026-04-28
Software Engineer,SparrowCX,L1 Trainee / L1 support engineer,"Bengaluru, Karnataka, India",[Apply](https://in.linkedin.com/jobs/view/l1-trainee-l1-support-engineer-at-sparrowcx-4405828340?position=19&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=Y5CitIOEPwNDtyuV6rVZJg%3D%3D),2026-04-23
Backend Developer,FlatZ,Backend Developer Intern,"Karur, Tamil Nadu, India",[Apply](https://in.linkedin.com/jobs/view/backend-developer-intern-at-flatz-4405025518?position=20&pageNum=0&refId=bI2PwzCKaogGWQMPmPGGsw%3D%3D&trackingId=Ip8FzjTdsrL78CjjlAgaiw%3D%3D),2026-04-23
Software Engineer,"IMEG, formally Northern Engineering & Consulting, Inc.",Mechanical Graduate Trainee Engineer,"Bengaluru, Karnataka, India",[Apply](https://in.linkedin.com/jobs/view/mechanical-graduate-trainee-engineer-at-imeg-formally-northern-engineering-consulting-inc-4404268105?position=24&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=2lXzGt%2BqtAUudtyN8DY1%2Bw%3D%3D),2026-04-22
Software Engineer,"IMEG, formally Northern Engineering & Consulting, Inc.",Mechanical Graduate Trainee Engineer,"Ahmedabad, Gujarat, India",[Apply](https://in.linkedin.com/jobs/view/mechanical-graduate-trainee-engineer-at-imeg-formally-northern-engineering-consulting-inc-4404267198?position=30&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=muNtc4Dg22maoCx9yn1WtQ%3D%3D),2026-04-22
Software Engineer,"IMEG, formally Northern Engineering & Consulting, Inc.",Mechanical Graduate Trainee Engineer,"Pendurthi, Andhra Pradesh, India",[Apply](https://in.linkedin.com/jobs/view/mechanical-graduate-trainee-engineer-at-imeg-formally-northern-engineering-consulting-inc-4404255420?position=31&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=1xIvSQ417XQuwfSgLzy10Q%3D%3D),2026-04-22
Backend Developer,VishvaVidya,Full Stack Web and Mobile App Developer Trainee (Freshers),"Pune Division, Maharashtra, India",[Apply](https://in.linkedin.com/jobs/view/full-stack-web-and-mobile-app-developer-trainee-freshers-at-vishvavidya-4405289858?position=5&pageNum=0&refId=bI2PwzCKaogGWQMPmPGGsw%3D%3D&trackingId=IndJT6%2FdQpSBT4QpGhX0Pw%3D%3D),2026-04-22
Software Engineer,"IMEG, formally Northern Engineering & Consulting, Inc.",Electrical Graduate Trainee Engineer,"Bengaluru, Karnataka, India",[Apply](https://in.linkedin.com/jobs/view/electrical-graduate-trainee-engineer-at-imeg-formally-northern-engineering-consulting-inc-4403975725?position=29&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=Vz2c2g%2F9rYoXsnKwfxWKVQ%3D%3D),2026-04-21
Software Engineer,"IMEG, formally Northern Engineering & Consulting, Inc.",Electrical Graduate Trainee Engineer,"Ahmedabad, Gujarat, India",[Apply](https://in.linkedin.com/jobs/view/electrical-graduate-trainee-engineer-at-imeg-formally-northern-engineering-consulting-inc-4403990337?position=32&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=rU8nooyJqfhDVqQnlyCACg%3D%3D),2026-04-21
Software Engineer,"IMEG, formally Northern Engineering & Consulting, Inc.",Electrical Graduate Trainee Engineer,"Pendurthi, Andhra Pradesh, India",[Apply](https://in.linkedin.com/jobs/view/electrical-graduate-trainee-engineer-at-imeg-formally-northern-engineering-consulting-inc-4403993292?position=33&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=1Nx8KbMu7VIgYYcNDAJmxA%3D%3D),2026-04-21
Backend Developer,Crownstack,Junior Fullstack AI Engineer (Fresher /Internship/ Entry-Level),"Noida, Uttar Pradesh, India",[Apply](https://in.linkedin.com/jobs/view/junior-fullstack-ai-engineer-fresher-internship-entry-level-at-crownstack-4404510183?position=27&pageNum=0&refId=bI2PwzCKaogGWQMPmPGGsw%3D%3D&trackingId=lEI1BJGYA4XUFkTBfMIw%2Fw%3D%3D),2026-04-21
Backend Developer,MBiG IT SERVICES PVT. LTD.,Full Stack Java Developer Internship – On-Site,"Bhandara, Maharashtra, India",[Apply](https://in.linkedin.com/jobs/view/full-stack-java-developer-internship-%E2%80%93-on-site-at-mbig-it-services-pvt-ltd-4401961505?position=42&pageNum=0&refId=bI2PwzCKaogGWQMPmPGGsw%3D%3D&trackingId=ZcK2hUKLmpUJioZQN8B%2F7A%3D%3D),2026-04-21
Backend Developer,Crownstack,Junior Fullstack AI Engineer (Fresher /Internship/ Entry-Level),"Noida, Uttar Pradesh, India",[Apply](https://in.linkedin.com/jobs/view/junior-fullstack-ai-engineer-fresher-internship-entry-level-at-crownstack-4404510183?position=3&pageNum=2&refId=s19zMchC1wUDQRiLLB9mrA%3D%3D&trackingId=5mXmRcO2q9oBqaExE3rgmw%3D%3D),2026-04-21
Backend Developer,Faveo,Golang developer Internship,"Jammu, Jammu & Kashmir, India",[Apply](https://in.linkedin.com/jobs/view/golang-developer-internship-at-faveo-4415026604?position=57&pageNum=0&refId=bI2PwzCKaogGWQMPmPGGsw%3D%3D&trackingId=cQRzERAund%2BD8juTk0e8Ug%3D%3D),2026-04-20
Backend Developer,Faveo,Golang developer Internship,"Jammu, Jammu & Kashmir, India",[Apply](https://in.linkedin.com/jobs/view/golang-developer-internship-at-faveo-4415026604?position=8&pageNum=5&refId=sqpFAx1Ms0DWOT1amAMX%2FQ%3D%3D&trackingId=r6CcP9s610AImXaKYXaMfw%3D%3D),2026-04-20
Software Engineer,Trinitysoft Solutions,Digital Marketing Intern,Greater Kolkata Area,[Apply](https://in.linkedin.com/jobs/view/digital-marketing-intern-at-trinitysoft-solutions-4403191371?position=45&pageNum=0&refId=yC%2FoaP7r7tSZ7I53xqBsZg%3D%3D&trackingId=D7G%2FKbRCEwCcVGzIuarB9w%3D%3D),2026-04-17
Mern Stack Developer,Sparks To Ideas,MERN Stack Developer Internship Ahmedabad,"Junagadh, Gujarat, India",[Apply](https://in.linkedin.com/jobs/view/mern-stack-developer-internship-ahmedabad-at-sparks-to-ideas-4398775628?position=4&pageNum=0&refId=Ro%2F7FCpg1fIjQIFn11RwnA%3D%3D&trackingId=7BV%2F%2FKBETgcqTJZDuGSY5w%3D%3D),2026-04-12
Mern Stack Developer,Sparks To Ideas,MERN Stack Developer Internship Ahmedabad,"Ahmedabad, Gujarat, India",[Apply](https://in.linkedin.com/jobs/view/mern-stack-developer-internship-ahmedabad-at-sparks-to-ideas-4398774682?position=5&pageNum=0&refId=Ro%2F7FCpg1fIjQIFn11RwnA%3D%3D&trackingId=mrtq0XjgwNbpEkYvVfElQg%3D%3D),2026-04-12
Mern Stack Developer,Sparks To Ideas,MERN Stack Developer Internship Ahmedabad,"Gandhinagar, Gujarat, India",[Apply](https://in.linkedin.com/jobs/view/mern-stack-developer-internship-ahmedabad-at-sparks-to-ideas-4398775627?position=6&pageNum=0&refId=Ro%2F7FCpg1fIjQIFn11RwnA%3D%3D&trackingId=8o353wfYlv1ciYzrHft9%2Fw%3D%3D),2026-04-12
